cas,temperatura
13.02.2016 21:00,-1.0
13.02.2016 22:00,-1.0
13.02.2016 23:00,-1.0
14.02.2016 00:00,3.0
14.02.2016 01:00,3.0
14.02.2016 02:00,3.0
14.02.2016 03:00,2.0
14.02.2016 04:00,2.0
14.02.2016 05:00,2.0
14.02.2016 06:00,2.0
14.02.2016 07:00,2.0
14.02.2016 08:00,2.0
14.02.2016 09:00,2.0
14.02.2016 10:00,2.0
14.02.2016 11:00,2.0
14.02.2016 12:00,2.0
14.02.2016 13:00,2.0
14.02.2016 14:00,3.0
14.02.2016 15:00,3.0
14.02.2016 16:00,3.0
14.02.2016 17:00,2.0
14.02.2016 18:00,-1.0
14.02.2016 19:00,0.0
14.02.2016 20:00,2.0
16.02.2016 00:00,-1.0
16.02.2016 01:00,-1.0
16.02.2016 02:00,-1.0
16.02.2016 03:00,-1.0
16.02.2016 04:00,-1.0
16.02.2016 05:00,-1.0
16.02.2016 06:00,-1.0
16.02.2016 07:00,-1.0
16.02.2016 08:00,-1.0
16.02.2016 09:00,-1.0
16.02.2016 10:00,-1.0
16.02.2016 11:00,-1.0
16.02.2016 12:00,-1.0
16.02.2016 13:00,-1.0
16.02.2016 14:00,-1.0
16.02.2016 15:00,-0.0
16.02.2016 16:00,0.0
16.02.2016 17:00,1.0
16.02.2016 18:00,1.0
16.02.2016 19:00,1.0
16.02.2016 20:00,1.0
17.02.2016 00:00,2.0
17.02.2016 01:00,2.0
17.02.2016 02:00,2.0
17.02.2016 03:00,2.0
17.02.2016 04:00,2.0
17.02.2016 05:00,2.0
17.02.2016 06:00,0.0
17.02.2016 07:00,-1.0
17.02.2016 08:00,-1.0
17.02.2016 09:00,2.0
17.02.2016 10:00,2.0
17.02.2016 11:00,2.0
17.02.2016 12:00,3.0
17.02.2016 13:00,2.0
17.02.2016 14:00,2.0
17.02.2016 15:00,3.0
17.02.2016 16:00,3.0
17.02.2016 17:00,2.0
17.02.2016 18:00,2.0
17.02.2016 19:00,0.0
17.02.2016 20:00,-0.0
18.02.2016 00:00,-2.0
18.02.2016 01:00,-3.0
18.02.2016 02:00,-2.0
18.02.2016 03:00,-2.0
18.02.2016 04:00,-2.0
18.02.2016 05:00,-2.0
18.02.2016 06:00,1.0
18.02.2016 07:00,-1.0
18.02.2016 08:00,1.0
18.02.2016 09:00,1.0
18.02.2016 10:00,2.0
18.02.2016 11:00,2.0
18.02.2016 12:00,2.0
18.02.2016 13:00,0.0
18.02.2016 14:00,1.0
18.02.2016 15:00,1.0
18.02.2016 16:00,1.0
18.02.2016 17:00,1.0
18.02.2016 18:00,0.0
18.02.2016 19:00,-0.0
18.02.2016 20:00,-1.0
21.02.2016 00:00,3.0
21.02.2016 01:00,3.0
21.02.2016 02:00,3.0
21.02.2016 03:00,4.0
21.02.2016 04:00,4.0
21.02.2016 05:00,3.0
21.02.2016 06:00,3.0
21.02.2016 07:00,4.0
21.02.2016 08:00,3.0
21.02.2016 09:00,3.0
21.02.2016 10:00,3.0
21.02.2016 11:00,3.0
21.02.2016 12:00,3.0
21.02.2016 13:00,4.0
21.02.2016 14:00,4.0
21.02.2016 15:00,4.0
21.02.2016 16:00,4.0
21.02.2016 17:00,3.0
21.02.2016 18:00,3.0
21.02.2016 19:00,3.0
21.02.2016 20:00,3.0
22.02.2016 00:00,3.0
22.02.2016 01:00,4.0
22.02.2016 02:00,4.0
22.02.2016 03:00,4.0
22.02.2016 04:00,4.0
22.02.2016 05:00,4.0
22.02.2016 06:00,4.0
22.02.2016 07:00,4.0
22.02.2016 08:00,4.0
22.02.2016 09:00,4.0
22.02.2016 10:00,4.0
22.02.2016 11:00,6.0
22.02.2016 12:00,6.0
22.02.2016 13:00,6.0
22.02.2016 14:00,6.0
22.02.2016 15:00,6.0
22.02.2016 16:00,6.0
22.02.2016 17:00,5.0
22.02.2016 18:00,3.0
22.02.2016 19:00,3.0
22.02.2016 20:00,3.0
